Country;Region;Sub Region;Road Maintenance;Road Network;Net Energy Imports;Access to Electricity;Quality of Electricity Supply;Employment to Population Ratio;Labor Productivity per Person Employed;HDI ;Population Growth ;Civil Liberty and Political Freedom;Youth Unemployment;Media Freedom;Corruption Perceptions Index ;Proximity to conflict ;Unweighted Rank of Political Variables; Journal Articles 2013; Journal Articles per capita;FDI inflows ;Domestic RnD Expenditure ;Payments for IP use;Charges for IP use;Net Charges for IP use;Hi Tech Exports ;GDP Growth;GDP Growth per capita;Population;GDP
Chad;Africa (Sub Saharan Africa);Central Africa;;40000.00;;41.60;1.20;;;0.24;3.30;6.50;10.50;74.00;22.00;1.00;4.00;7.00;0.00;-15.88;;;;;;6.90;3.43;;
Chile *;Latin America and Caribbean;South  America;;77764.00;59.67;69.30;5.60;58.00;;0.67;1.00;1.00;16.40;29.00;70.00;;0.00;5157.60;0.00;35.63;0.38;1548577802.47;86343915.09;-1457.00;5.90;1.88;0.80;;
China;East Asia and Pacific;Asia;;4106387.00;13.51;70.56;3.90;68.00;23783.00;;0.50;6.50;10.50;87.00;37.00;;2.00;401434.50;0.00;2.80;2.05;22613800781.52;676381923.65;-20937.00;25.80;7.30;6.76;;
Colombia *;Latin America and Caribbean;South America;;204855.00;-296.71;99.50;4.70;60.70;;0.54;0.90;3.50;18.90;56.00;37.00;;0.00;4455.90;0.00;16.92;0.20;525973319.70;56368810.70;-415.00;9.50;4.39;3.40;;
Comoros *;Africa;East Africa;;880.00;;93.46;;53.90;;0.27;2.40;3.50;10.60;49.00;26.00;;1.00;13.90;0.00;3.60;;;;;0.10;2.06;-0.36;;
Congo  Dem. Rep.;Africa (Sub Saharan Africa);Central Africa;;153497.00;-1.96;100.00;;;2396.00;0.28;3.10;6.00;11.90;78.00;22.00;1.00;4.00;16.40;0.00;32.61;0.08;10736427.23;;;;8.97;5.59;;
Congo  Rep.;Africa (Sub Saharan Africa);Central Africa;;17000.00;-513.21;90.88;;66.09;;0.43;2.50;5.50;10.70;59.00;23.00;1.00;4.00;136.80;0.00;96.85;;;;;2.00;6.78;4.16;;
Costa Rica *;Latin America and Caribbean;Central America;;39018.00;49.05;90.88;5.40;57.79;;0.61;1.10;1.00;19.20;17.00;55.00;;0.00;276.60;0.00;28.49;0.56;430562728.48;35868.72;-517.00;16.80;2.98;1.87;;
Cote d'Ivoire;Africa (Sub Saharan Africa);West Africa;;81996.00;3.71;100.00;;64.59;8546.00;0.29;2.40;4.50;5.80;51.00;32.00;1.00;2.00;169.20;0.00;7.76;;;;-3.00;4.80;8.49;5.87;;
Croatia *;Europe and Central Asia;Central Europe;;26958.00;53.02;100.00;5.10;;;0.74;-0.30;1.50;45.90;42.00;51.00;;1.00;4359.00;0.00;33.73;0.79;275923004.80;26128571.95;-222.00;9.00;-0.36;0.05;;
Cuba;Latin America and Caribbean;South America;;60858.00;50.02;100.00;;54.90;;;0.10;6.50;7.10;91.00;47.00;;2.00;1547.90;0.00;;0.41;;;;;;;;
Curacao;Latin America and Caribbean;Caribbean;;550.00;;53.26;;;;;1.40;3.00;11.70;24.00;34.00;;0.00;;;;;29184357.54;7603351.96;-16.00;;;;;
Cyprus *;Europe and Central Asia;Southern Europe;;20006.00;94.36;92.67;6.10;53.90;76581.00;0.76;1.00;1.00;35.70;21.00;61.00;;1.00;888.60;0.00;11.58;0.47;;;;6.20;-1.53;-0.44;;
Czech Republic *;Europe and Central Asia;Central Europe;587122313.00;130661.00;29.38;100.00;6.10;55.90;;0.82;0.20;1.00;16.70;21.00;56.00;;0.00;14022.40;0.00;10.70;2.00;1343830327.29;493180815.33;-737.00;14.90;2.72;2.61;;
Denmark *;Europe and Central Asia;Scandinavia;;74497.00;0.44;98.00;6.90;58.29;91964.00;0.86;0.60;1.00;12.40;12.00;91.00;;0.00;12482.40;0.02;5.26;3.08;1501384593.22;2519514247.82;842.00;16.00;1.26;0.75;;
Djibouti;Africa (Sub Saharan Africa);East Africa;;3065.00;;100.00;;;;0.31;1.30;5.50;40.00;75.00;34.00;1.00;3.00;7.80;0.00;24.63;;;;;;6.00;4.59;;
Dominica *;Latin America and Caribbean;Caribbean;;1512.00;;95.71;;;;;0.50;1.00;15.30;26.00;58.00;;0.00;11.30;0.00;45.35;;;;;8.80;4.19;3.70;;
Dominican Republic *;Latin America and Caribbean;Caribbean;;19705.00;86.39;81.41;;55.09;;0.55;1.20;2.50;31.40;42.00;33.00;;0.00;39.10;0.00;16.77;;81400000.00;;;3.80;7.61;6.32;;
Ecuador *;Latin America and Caribbean;South America;;43670.00;-93.76;100.00;3.10;65.59;;0.57;1.50;3.00;10.80;66.00;32.00;;0.00;256.00;0.00;2.78;0.34;110557408.01;;;7.20;3.99;2.41;;
Egypt  Arab Rep.;Middle East and North Africa;North Africa;;137430.00;-6.81;100.00;5.00;42.79;41018.00;0.52;2.10;5.50;42.00;77.00;36.00;1.00;3.00;9199.20;0.00;12.13;0.68;241500000.00;;;0.80;2.23;-0.01;;
El Salvador *;Latin America and Caribbean;Central America;;6918.00;46.14;36.08;5.10;;;0.49;0.30;2.50;11.70;39.00;39.00;;0.00;35.40;0.00;9.11;0.08;68550429.24;19142648.20;-41.00;4.40;1.43;1.13;;
Equatorial Guinea;Africa (Sub Saharan Africa);Central Africa;;2880.00;;100.00;;;;;2.90;7.00;12.60;91.00;19.00;;3.00;2.40;0.00;4.37;;;;;;-0.68;-3.56;;
Eritrea;Africa (Sub Saharan Africa);East Africa;;4010.00;21.77;100.00;;78.69;;;3.30;7.00;10.90;94.00;18.00;;4.00;10.60;0.00;14.54;;;;;;;;;
Estonia *;Europe and Central Asia;Baltic States;;58412.00;3.88;26.56;5.60;57.29;;0.78;-0.20;1.00;17.00;16.00;70.00;;0.00;1425.80;0.00;7.58;1.44;61052360.65;11758069.07;-32.00;11.40;2.82;3.09;;
Ethiopia;Africa (Sub Saharan Africa);East Africa;;110414.00;5.47;100.00;3.60;79.30;2984.00;0.31;2.50;6.00;7.10;83.00;33.00;1.00;3.00;801.70;0.00;11.14;0.60;;;;4.00;10.28;7.55;;
Fiji;East Asia and Pacific;Pacific;;3440.00;;89.30;;50.59;;0.62;0.60;3.50;18.60;48.00;22.00;;0.00;84.00;0.00;44.50;;3169554.18;473005.82;-4.00;2.30;5.45;4.74;;
Finland *;Europe and Central Asia;Scandinavia;506000000.00;454000.00;46.33;100.00;6.60;54.29;89221.00;0.83;0.40;1.00;19.20;11.00;90.00;;1.00;10156.70;0.00;30.86;3.17;1175970008.55;2648546008.15;-824.60;8.70;-0.71;-1.12;;
France *;Europe and Central Asia;Western Europe;2760000000.00;1028446.00;43.58;64.06;6.80;50.20;95401.00;0.81;0.50;1.00;23.90;28.00;70.00;;1.00;72554.50;0.00;2.47;2.26;12333420586.46;14272984725.42;1012.00;26.80;0.64;-0.16;;
Gabon;Africa (Sub Saharan Africa);Central Africa;;9170.00;-477.62;26.20;;49.00;;0.52;2.20;5.50;35.50;68.00;34.00;;3.00;50.30;0.00;15.90;0.58;;;;;4.31;2.01;;
Gambia  The;Africa (Sub Saharan Africa);West Africa;;3740.00;;34.53;2.40;72.00;;;3.20;6.00;10.60;87.00;28.00;;2.00;45.10;0.00;13.68;0.13;;;;0.00;0.88;-2.33;;
Georgia *;Europe and Central Asia;South Asia;15777579.00;19109.00;63.36;60.61;2.80;56.59;;0.65;-1.30;3.00;34.10;49.00;52.00;;1.00;468.40;0.00;40.99;0.10;19348328.75;1682200.68;-6.00;5.60;4.62;6.00;;
Germany *;Europe and Central Asia;Central Europe;;645000.00;60.89;66.00;6.90;56.90;87840.00;0.85;0.50;1.00;7.60;20.00;81.00;;0.00;101073.90;0.00;0.11;2.87;9311363241.88;14992633307.74;5668.00;16.70;1.60;3.04;;
Ghana *;Africa (Sub Saharan Africa);West Africa;;109515.00;-7.04;100.00;;67.80;9069.00;0.39;2.30;1.50;3.30;31.00;47.00;;1.00;583.30;0.00;35.98;0.38;;;;4.90;3.99;1.57;;
Greece *;Europe and Central Asia;Southern Europe;;116960.00;62.62;100.00;5.10;39.09;71926.00;0.76;-0.80;2.00;53.90;48.00;46.00;;1.00;11370.40;0.00;6.10;0.84;445830662.29;107875441.34;-237.00;11.00;0.35;1.02;;
Grenada *;Latin America and Caribbean;Caribbean;;1127.00;;59.33;;;;;0.40;1.50;31.50;24.00;50.00;;0.00;33.80;0.00;24.79;;;;-6.00;;7.36;6.91;;
Guatemala *;Latin America and Caribbean;Central America;;17332.00;27.82;99.82;4.60;65.90;;0.44;2.00;3.50;5.40;58.00;28.00;1.00;2.00;80.50;0.00;17.08;0.04;175215100.00;15215600.00;-227.00;5.00;4.17;2.06;;
Guinea;Africa (Sub Saharan Africa);West Africa;;44348.00;;100.00;;79.80;;0.26;2.70;5.00;1.70;65.00;25.00;1.00;3.00;11.50;0.00;10.94;;;;;1.00;0.40;-2.27;;
Guinea-Bissau;Africa (Sub Saharan Africa);West Africa;;3455.00;;82.20;;68.30;;0.25;2.40;5.00;11.10;60.00;17.00;;2.00;12.00;0.00;24.31;;;;;;2.54;0.07;;
Guyana *;Latin America and Caribbean;South America;;7970.00;;29.15;2.50;54.50;0.52;0.52;0.40;2.50;23.80;36.00;29.00;;1.00;10.70;0.00;50.60;;23943000.00;4364000.00;-15.00;0.10;3.84;3.45;;
Haiti;Latin America and Caribbean;Caribbean;;4266.00;18.68;100.00;;61.50;;0.30;1.30;5.00;17.10;52.00;17.00;;1.00;27.80;0.00;3.65;;2163920.00;28614622.93;28.00;;2.80;1.43;;
Honduras;Latin America and Caribbean;Central America;;14742.00;51.54;92.53;3.40;60.40;;0.41;1.40;4.00;6.90;67.00;31.00;;1.00;20.00;0.00;26.32;;91498252.70;2156914.49;-45.00;2.40;3.09;1.63;;
Hong Kong SAR  China;East Asia and Pacific;East Asia;;2100.00;99.30;82.01;6.70;56.79;108166.00;;0.90;3.50;8.50;39.00;75.00;;0.00;;;166.55;0.73;1938286852.26;622629445.12;-1315.00;10.70;2.68;1.91;;
Hungary *;Europe and Central Asia;Central Europe;356914256.00;203601.00;55.06;52.30;5.30;47.90;;0.77;-0.20;2.00;21.00;40.00;51.00;;1.00;6249.30;0.00;24.99;1.37;1701540945.78;2085306419.76;116.00;13.70;4.05;4.33;;
Iceland *;Europe and Central Asia;Scandinavia;;12890.00;10.69;96.00;6.90;70.09;81570.00;0.85;1.00;1.00;10.90;15.00;79.00;;0.00;575.90;0.00;15.10;1.89;118080546.70;158667970.09;146.00;19.90;1.83;0.70;;
India *;South Asia;South Asia;6894457473.00;4699024.00;32.51;100.00;3.10;52.20;14889.00;0.44;1.20;2.50;10.40;41.00;38.00;;0.00;93349.40;0.00;5.50;0.82;4848711888.71;658722433.04;-4542.00;7.50;7.24;5.94;;
Indonesia *;East Asia and Pacific;Pacific;;496607.00;-115.31;100.00;3.50;63.50;23532.00;0.56;1.20;3.00;21.80;49.00;36.00;;1.00;2927.70;0.00;7.54;0.08;1861866471.75;59613861.40;-1599.00;7.00;5.02;3.71;;
Iran  Islamic Rep.;Middle East and North Africa;Middle East;;198866.00;-30.88;100.00;;39.59;;0.51;1.20;6.00;29.40;90.00;27.00;1.00;4.00;32964.80;0.00;1.94;0.33;;;;;4.34;3.02;;
Iraq;Middle East and North Africa;Middle East;;59623.00;-215.02;100.00;;35.40;;0.51;3.20;6.00;34.60;71.00;16.00;1.00;5.00;946.50;0.00;8.13;0.04;;;;;0.06;-3.25;;
Ireland *;Europe and Central Asia;Western Europe;;96036.00;84.92;100.00;6.10;53.40;125239.00;0.84;0.50;1.00;25.80;17.00;75.00;;1.00;6874.00;0.00;64.27;1.52;64209889665.12;6329504117.27;-67657.00;26.80;8.46;8.02;;
Israel *;Middle East and North Africa;Middle East;;18566.00;68.39;92.63;6.40;59.90;;0.78;2.00;1.50;11.00;32.00;61.00;;0.00;11300.20;0.00;11.39;4.11;1135700000.00;1281000000.00;34.00;19.70;3.16;1.20;;
Italy *;Europe and Central Asia;Southern Europe;;487700.00;75.38;99.50;5.30;43.09;87994.00;0.77;0.00;1.00;44.10;31.00;44.00;;1.00;66310.30;0.00;6.53;1.29;5178268489.04;3294874978.77;-1283.00;7.30;0.09;-0.82;;
Jamaica *;Latin America and Caribbean;Caribbean;;22121.00;82.54;100.00;4.40;55.00;;0.59;0.20;2.50;30.50;18.00;41.00;;1.00;176.40;0.00;22.24;;50762247.77;6255375.37;-45.00;0.10;0.69;0.48;;
Japan *;East Asia and Pacific;East Asia;257387614.00;1218772.00;94.03;100.00;6.90;56.90;73747.00;0.78;-0.10;1.00;6.50;26.00;75.00;;0.00;103376.60;0.00;0.21;3.58;20941598563.30;37336359360.33;34932.00;16.80;0.34;0.50;;
Jordan;Middle East and North Africa;Middle East;;7203.00;96.54;23.00;5.60;37.20;;0.63;2.40;5.50;28.80;66.00;53.00;1.00;4.00;1504.30;0.00;26.34;0.43;2394366.20;10845070.42;-2.00;1.80;3.10;0.30;;
Kazakhstan;Europe and Central Asia;Eastern Europe;;97418.00;-107.34;100.00;4.30;69.69;;0.69;1.50;5.50;3.50;84.00;28.00;;1.00;879.00;0.00;19.38;0.17;166057185.00;1778000.00;-148.00;41.20;4.20;2.67;;
Kenya *;Africa (Sub Saharan Africa);East Africa;;160878.00;18.15;31.10;3.10;61.20;7843.00;0.38;2.60;4.00;17.40;58.00;25.00;1.00;3.00;871.60;0.00;7.62;0.79;147498644.69;59651625.63;-87.00;3.80;5.33;2.58;;
Kiribati *;East Asia and Pacific;South Asia;;670.00;;59.33;;;;0.41;1.80;1.00;;30.00;;;0.00;1.10;0.00;;;;;;0.70;2.41;0.62;;
Korea  Dem. Rep.;East Asia and Pacific;South Asia;;25554.00;;90.88;;;;;0.50;7.00;10.60;51.00;8.00;;3.00;45.30;;3.58;;;;;;;;;
Korea  Rep. *;East Asia and Pacific;South Asia;;104983.00;81.83;100.00;6.10;58.79;72201.00;0.75;0.40;1.00;9.00;29.00;56.00;;0.00;58844.10;;;4.29;10546000000.00;5167100000.00;-3632.00;26.80;3.34;2.92;;
Kosovo;Europe and Central Asia;Balkans;;2003.00;;100.00;;;;;-0.90;4.00;55.30;49.00;33.00;;0.00;124.30;;12.78;;2710876.80;218789.86;-2.00;;1.22;1.52;;
Kuwait;Middle East and North Africa;Middle East;;6608.00;-386.16;97.70;6.30;66.50;;;3.60;5.00;19.40;59.00;49.00;;1.00;843.80;0.00;14.22;0.30;;;;2.70;0.50;-3.77;;
Kyrgyzstan;Europe and Central Asia;Eastern Europe;;34000.00;55.46;96.33;3.40;62.40;;0.56;2.10;5.00;14.70;67.00;28.00;;0.00;60.40;0.00;;0.13;4981486.00;1405571.00;-5.00;11.90;4.02;1.96;;
Laos;East Asia and Pacific;South Asia;;39586.00;;70.00;;76.60;;0.43;1.70;6.50;3.40;84.00;25.00;;3.00;69.00;0.00;11.18;;;;;;7.52;5.76;;
Latvia *;Europe and Central Asia;Baltic States;154000000.00;72440.00;50.68;96.41;5.00;54.79;;0.73;-0.80;2.00;19.30;28.00;55.00;;0.00;1206.80;0.00;22.37;0.69;45136670.91;5314556.97;-27.00;15.10;2.10;3.07;;
Lebanon;Middle East and North Africa;Middle East;;6970.00;96.52;25.42;;44.70;;0.61;4.20;4.50;20.70;56.00;28.00;1.00;3.00;1050.30;0.00;0.39;;34701663.40;18367158.22;-10.00;2.10;1.80;-4.10;;
Lesotho *;Africa (Sub Saharan Africa);Southern Africa;;5940.00;;100.00;3.20;48.90;;0.32;1.20;2.50;33.00;49.00;44.00;;1.00;12.40;0.00;;0.01;3831336.08;258126.59;-3.00;0.00;4.54;3.25;;
Liberia *;Africa (Sub Saharan Africa);West Africa;;10600.00;;88.66;;59.29;;0.28;2.40;3.50;4.60;58.00;37.00;;1.00;8.30;0.00;-1.71;;;;;;0.70;-1.65;;
Libya *;Middle East and North Africa;North Africa;;100024.00;-263.15;78.03;;42.59;;;0.30;6.00;48.90;75.00;16.00;;4.00;231.40;0.00;;;;;;;;;;
Liechtenstein *;Europe and Central Asia;Central Europe;;380.00;;81.64;;;;;0.70;1.00;;14.00;50.00;;0.00;26.30;0.00;99.92;;;;;;;;;
Lithuania *;Europe and Central Asia;Baltic States;143000000.00;84166.00;76.50;20.56;5.20;54.29;;0.75;-0.80;1.00;21.50;23.00;61.00;;1.00;2185.40;0.00;31.62;1.01;47435061.02;26326835.14;-25.00;11.90;3.03;3.92;;
Luxembourg *;Europe and Central Asia;Western Europe;41000000.00;2899.00;96.61;100.00;6.10;53.90;134003.00;0.82;2.40;1.00;16.00;13.00;81.00;;1.00;732.20;0.01;;1.26;4486878118.05;1721005958.92;-1518.00;6.80;4.07;1.65;;
Macedonia  FYR *;Europe and Central Asia;Balkans;;14182.00;48.39;90.88;4.30;39.90;;0.62;0.10;3.50;50.80;62.00;42.00;;1.00;439.90;;17.88;0.44;52812610.00;10372985.00;-47.00;3.00;3.54;3.39;;
Madagascar;Africa (Sub Saharan Africa);East Africa;;37476.00;;100.00;2.00;85.19;3392.00;0.37;2.80;4.00;5.20;58.00;28.00;;2.00;113.20;0.00;12.38;0.02;;;-3.00;0.20;3.32;0.48;;
Malawi *;Africa (Sub Saharan Africa);Southern Africa;;15450.00;;100.00;2.70;76.80;2890.00;0.30;3.10;3.50;13.80;45.00;31.00;;2.00;156.50;0.00;54.48;;2983405.57;;;2.20;5.70;2.50;;
Malaysia;East Asia and Pacific;South Asia;;144403.00;-6.35;100.00;5.80;58.40;58539.00;;1.40;4.00;6.70;67.00;50.00;;0.00;17720.10;0.00;4.40;1.26;1423860804.08;75911178.86;-1165.00;42.80;6.01;4.46;;
Maldives;South Asia;South Asia;;88.00;;15.40;;59.40;;0.53;2.00;4.00;26.90;58.00;22.00;;1.00;5.30;0.00;602.85;;3543090.57;;;;6.00;3.88;;
Mali;Africa;West Africa;;22474.00;;100.00;;60.70;6868.00;0.27;3.00;4.50;10.50;37.00;35.00;1.00;2.00;64.20;0.00;21.77;0.67;;;;1.20;7.04;3.95;;
Malta *;Europe and Central Asia;Southern Europe;17000000.00;3096.00;98.73;96.20;4.80;48.79;76715.00;0.77;0.90;1.00;13.60;23.00;56.00;;0.00;259.20;0.01;17.32;0.85;507405885.71;334694246.39;-147.00;31.90;3.46;2.50;;
Mauritania;Africa;West Africa;;10628.00;;59.33;3.00;37.29;;0.34;2.40;5.50;46.60;51.00;31.00;1.00;4.00;16.20;0.00;;;10693050.69;;;;4.21;1.66;;
Mauritius *;Africa (Sub Saharan Africa);East Africa;;2149.00;83.78;87.84;5.60;54.09;;0.67;0.10;1.50;21.20;29.00;53.00;;1.00;109.50;0.00;10.16;0.18;18907886.50;2861543.02;-17.00;0.10;3.74;3.56;;
Mexico *;The Americas;North America;;377660.00;-11.73;100.00;4.10;58.59;;0.59;1.30;3.00;9.90;64.00;35.00;1.00;1.00;13112.40;0.00;;0.54;561842437.00;193571686.00;-565.00;14.70;2.25;0.90;;
